DESCRIPTION,VIDEOA,VIDEOB,VIDEOC
move the pencil,https://s3.amazonaws.com/voxsim-videos/video/move_the_pencil/move_the_pencil-2017-03-16-194420.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_pencil/move_the_pencil-2017-03-16-195428.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_pencil/move_the_pencil-2017-03-16-195733.mp4
move the paper sheet,https://s3.amazonaws.com/voxsim-videos/video/move_the_paper_sheet/move_the_paper_sheet-2017-03-16-200950.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_paper_sheet/move_the_paper_sheet-2017-03-16-200959.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_paper_sheet/move_the_paper_sheet-2017-03-16-201222.mp4
turn the block,https://s3.amazonaws.com/voxsim-videos/video/turn_the_block/turn_the_block-2017-03-17-002320.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_block/turn_the_block-2017-03-17-002326.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_block/turn_the_block-2017-03-17-002332.mp4
turn the ball,https://s3.amazonaws.com/voxsim-videos/video/turn_the_ball/turn_the_ball-2017-03-17-002338.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_ball/turn_the_ball-2017-03-17-002344.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_ball/turn_the_ball-2017-03-17-002350.mp4
turn the plate,https://s3.amazonaws.com/voxsim-videos/video/turn_the_plate/turn_the_plate-2017-03-17-003211.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_plate/turn_the_plate-2017-03-17-003217.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_plate/turn_the_plate-2017-03-17-003223.mp4
turn the cup,https://s3.amazonaws.com/voxsim-videos/video/turn_the_cup/turn_the_cup-2017-03-17-003230.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_cup/turn_the_cup-2017-03-17-003236.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_cup/turn_the_cup-2017-03-17-003242.mp4
turn the disc,https://s3.amazonaws.com/voxsim-videos/video/turn_the_disc/turn_the_disc-2017-03-17-003248.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_disc/turn_the_disc-2017-03-17-003254.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_disc/turn_the_disc-2017-03-17-003300.mp4
turn the book,https://s3.amazonaws.com/voxsim-videos/video/turn_the_book/turn_the_book-2017-03-17-003305.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_book/turn_the_book-2017-03-17-003313.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_book/turn_the_book-2017-03-17-003318.mp4
turn the blackboard,https://s3.amazonaws.com/voxsim-videos/video/turn_the_blackboard/turn_the_blackboard-2017-03-17-003324.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_blackboard/turn_the_blackboard-2017-03-17-003329.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_blackboard/turn_the_blackboard-2017-03-17-003334.mp4
turn the bottle,https://s3.amazonaws.com/voxsim-videos/video/turn_the_bottle/turn_the_bottle-2017-03-17-003346.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_bottle/turn_the_bottle-2017-03-17-003352.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_bottle/turn_the_bottle-2017-03-17-003356.mp4
turn the grape,https://s3.amazonaws.com/voxsim-videos/video/turn_the_grape/turn_the_grape-2017-03-17-003402.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_grape/turn_the_grape-2017-03-17-003411.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_grape/turn_the_grape-2017-03-17-003417.mp4
turn the apple,https://s3.amazonaws.com/voxsim-videos/video/turn_the_apple/turn_the_apple-2017-03-17-003714.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_apple/turn_the_apple-2017-03-17-003720.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_apple/turn_the_apple-2017-03-17-003725.mp4
turn the banana,https://s3.amazonaws.com/voxsim-videos/video/turn_the_banana/turn_the_banana-2017-03-17-003731.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_banana/turn_the_banana-2017-03-17-003809.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_banana/turn_the_banana-2017-03-17-003814.mp4
turn the bowl,https://s3.amazonaws.com/voxsim-videos/video/turn_the_bowl/turn_the_bowl-2017-03-17-003820.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_bowl/turn_the_bowl-2017-03-17-003828.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_bowl/turn_the_bowl-2017-03-17-003834.mp4
